"metadataID","dateCreated","metadata","file","filePath","updateID"
"Rhodamine.WL.20140728","7/11/2016","FOR COMPLETE METADATA SEE FILES IN BOX FOLDER. Metadata describes the concentration of Rhodamine applied to a lake. Because of spatial and temporal differences in sample sites, the volume of Rhodamine added is variable. The metadata captures this variability.","Rhodamine.WL.20140728.docx","Box/MFE/Database/Metadata Files","NA"
"SedimentOC.20110601","6/1/2011","lake sediment was dried at 60C then ashed at 500C for 4 hours.  Percent organic content was determined as (dry.wt-ash.wt)/dry.wt.  The Michiana methane survey samples started with a known volume of wet sediment in order to compare to sediment cores.  2cm deep x area of the sed core ((4.6cm/2)^2*PI=16.6cm^2) = 33.2 cm^3.","NA","NA","NA"
"sedimentTrapFieldProtocol","9/30/2020","Field protocol for sediment trap samples","sedimentTrapFieldProtocol.docx","Box/MFE/Database/Metadata Files","SED_TRAP_metadata.20200930"
"sedimentTrapLabProtocol","9/30/2020","Lab protocol for sediment trap samples","sedimentTrapLabProtocol.docx","Box/MFE/Database/Metadata Files","SED_TRAP_metadata.20200930"
"seston.point.Sample.20120501","5/1/2012","point samples for algae/seson lipid samples.  Samples collected at 0.5m at the DeepHole.  Samples then filtered onto 47mm GF/F filters and frozen at -80C.","NA","NA","NA"
"Staff.Gauge.Sample.20140319","3/19/2014","Staff gauge heights are measured by looking at where the water level crosses the gauge hatch marks. Whole lake staff gauges are usually near the dock or landing of a lake and waves may complicate gauge readings; in instances where large waves are present, gauge readings are recorded as half the difference between the crest and trough measurement added to the trough measurement. Usually whole lake staff gauge hatch marks are in fractions of feet. Staff gauges for inlets are fixed to the treated plywood of the weir and the hatch marks are in either centimeters or inches. The water height is the height of the water above the bottom of the v-notch.","NA","NA","NA"
"Surveying.20190509","5/9/2019","see attached protocol","Surveying.20190509.docx","Box/MFE/Database/Metadata Files","NA"
"tPOCdep.Analysis.20110617","6/17/2011","see attached protocol","tPOCdep.Analysis.20110617.docx","Box/MFE/Database/Metadata Files","NA"
"tPOCdep.Analysis.20110623","6/23/2011","see attached protocol","tPOCdep.Analysis.20110623.docx","Box/MFE/Database/Metadata Files","NA"
"tPOCdep.Analysis.20110629","6/29/2011","see attached protocol","tPOCdep.Analysis.20110629.docx","Box/MFE/Database/Metadata Files","NA"
"tPOCdep.Sample.20110617","6/17/2011","see attached protocol","tPOCdep.Sample.20110617.docx","Box/MFE/Database/Metadata Files","NA"
"transverseSection.20120406","4/6/2012","Fish Otoliths.  see attached file","transverseSection.20120406.docx","Box/MFE/Database/Metadata Files","NA"
"UNDERC.fishMonitoring.20180303","3/6/2018","See attached file.","UNDERC.fishMonitoring.20180303.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"unknown","NA","the metadata for this sample is unknown","NA","NA","NA"
"YOYSurv.20162017","11/16/2018","See attached file.","YOY Largemouth Bass survey 2016&2017 Metadata.docx","Box/MFE/Database/Metadata Files/YOY Largemouth Bass Survey 2016.2017","metadataFix.2020"
"zoobenthos.Isotope.Sample.20110714","7/14/2011","zoobenthos sampled and dried for isotope analysis.  samples dried and stored in 60C drying oven. Zoobenthos were collected for isotope analysis at 3 or 4 sites in the lake using a dip net. The net was used to sample the sediment surface between 0and 1m depth, and was also passed through shoreline vegetation. All samples were pooled and invertebrates picked from the pooled sample later in the day. The invertebrates were stored in petri dishes over water overnight for gut evacuation, and then placed in sample tubes in the drying oven.","NA","NA","NA"
"zoobenthos.Lipid.Sample.20120501","5/1/2012","zoobenthos sampled and frozen for lipid analysis.  Samples were frozen and then freeze dried prior to lipid analysis.","NA","NA","NA"
"zoobenthos.Sample.20110714","7/14/2011","Substrate samples containing benthic invertebrates were taken from 20 samples sites in East and West Long Lake.  Five cores were taken at each of the eight 1m sites, each core with an area of 0.00384 m2.  At each of the eight 3m sites and four 8m sites, one Ekman Grab of substrate was taken.  The surface area of the Ekman is 0.0225 m2.  Each of the samples was then fine-sieved through a 250 <U+00B5>m Hershey net.","zoobenthos.Sample.20110714.docx","Box/MFE/Database/Metadata Files","NA"
"zoobenthos.Sample.20181114","11/14/2018","benthic invertebrate sampling and lab protocols for Long Lake bugs. Lots of good information and guides for bug identification within as well. Must read shit!","zoobenthosSample.20181114.docx","Box/MFE/Database/Metadata Files","NA"
"zoobenthosLengths.20110519","5/19/2011","Invertebrates from each sample were picked out of the substrate material with soft forceps.  The substrate was placed in white pans and mixed with water to facilitate the picking process.  The invertebrates from each sample site were stored in labelled scintillation vials with 70% ethanol. Each of the individual invertebrates was identified to the genus level, if possible, using Merrit and Cummins (1996).  Head mounts were needed to identify the Chironomidae larvae.  On a microscope slide, each of the Chironomidae larvae were placed into CMCP mounting medium, and then covered with a cover slip.  The cover slips were ringed in spar varnish.  A Leica DM 1000 compound microscope was used to view the slides. ","zoobenthosLengths.20110519.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"zoop.horiz.tow.Sample.20120501","5/1/2012","horizontal (oblique) zooplankton tows.  Net was towed behind a jon boat trolling with a trolling motor.  The tow was done in the pelagic area of the lake near the deep hole.  It is estimated that the net covered 0-2m depth.  Samples later picked by taxa and then frozen at -80C for lipid analysis or picked and dried at 60C for isotope analysis.","zoop.horiz.tow.Sample.20120501.docx","Box/MFE/Database/Metadata Files","NA"
"zoop.tow.Sample.20120501","5/1/2012","Vertical zooplankton tows with 80um mesh zoop nets (made by Aquatic Research Instruments).  Nets are 12 inch diameter with a 3:1 length to diameter ratio.  Nets are retrieved at 3 seconds per meter.  Two tows are collected and pooled into a single sample container.","zoop.tow.Sample.20120501.docx","Box/MFE/Database/Metadata Files","NA"
"ZoopCounts.20110517","5/17/2011","Zoop counting prodedure used at UNDERC in summer of 2011.  Subsamples of each zoop sample were counted until the standard error of the counts for each taxa were below 10% of the mean.  (this follows the Cascade method from Cascade manual).  25 individuals of each taxa were randomly selected and measured.  Pictures were taken using the Leica scope/camera and software.  The pictures were then imported into ImageJ where they were measured in mm.","ZoopCounts.20110517.docx","?","NA"
"ZoopCounts.20110601","6/1/2011","Zooop counting procedure used at ND in the Fall of 2011.  The sample jar was weighed empty, and then again when full with sample.  A weighed subsample of each sample was counted completely.  Subsamples consisted of around ~300-1000 individual zooplankton.  25 individuals of each taxa were randomly selected and measured.  Pictures were taken using the Leica scope/camera and software.  The pictures were then imported into ImageJ where they were measured in mm.  Lengths were used to calculate biomass using length to weight regressions from Downing and Rigler (1984) and Soranno (1990) (From Cascade Manual).  Net efficiency of 0.25 was applied to counts for all taxa (this is based on Cascade's net efficiencies).","Zooplankton Counting Procedure.docx","Box/MFE/Database/Metadata Files","NA"
"zoopCounts.20181114","11/14/2018","NA","ZoopCounts.20181114.docx","Box/MFE/Database/Metadata Files","NA"
"zoopCounts.20191212","5/30/2020","See attached file.","ZoopCounts.20191212.docx","Box/MFE/Database/Metadata Files","metadataFix.2020"
"ZoopProd.20120216","2/16/2012","zooplankton production calculations were made using the Plante and Downing (1989) method.  The egg ratio method was also tested, but it is likely that our egg counts were insufficient to produce accurate results.","ZoopProd.20120216.docx","Box/MFE/Database/Metadata Files","NA"
"ZoopSurv.Sample.20110517","5/17/2011","Zooplankton production survey sampling.  Sampled zoops with 80um nitex plankton nets.  Vertical tows of entire water column.  Took profiles of temp, DO, pH, SpCond, ORP.  Collected point water samples from the middle of the epilimnion for DOC, Chl, color, and nutrient analysis.","ZoopSurv.Sample.20110517.docx","Box/MFE/Database/Metadata Files","NA"
