"pocID","projectID","lakeID","site","dateSample","timeSample","depthClass","depthTop","depthBottom","volFiltered","replicate","comments","sampleID"
"P179",35,"BH","DeepHole","8/25/2020","9:50","PML",0,5,120,"1","","BH_DeepHole_20200825_0950_PML_5_Limno.Sample.20160505"
"P180",35,"BH","DeepHole","8/25/2020","9:50","Hypo",10,10,120,"1","","BH_DeepHole_20200825_0950_Hypo_10_Limno.Sample.20160505"
"P181",35,"HH","DeepHole","8/25/2020","11:10","PML",0,4,120,"1","","HH_DeepHole_20200825_1110_PML_4_Limno.Sample.20160505"
"P182",35,"HH","DeepHole","8/25/2020","11:10","Hypo",5.5,5.5,120,"1","","HH_DeepHole_20200825_1110_Hypo_5.5_Limno.Sample.20160505"
"P183",35,"MI","DeepHole","8/26/2020","10:25","PML",0,0.5,120,"1","","MI_DeepHole_20200826_1025_PML_0.5_Limno.Sample.20160505"
"P184",35,"MI","DeepHole","8/26/2020","10:25","Hypo",9,9,120,"1","","MI_DeepHole_20200826_1025_Hypo_9_Limno.Sample.20160505"
"P185",35,"TR","DeepHole","8/26/2020","9:15","PML",0,0.5,120,"1","","TR_DeepHole_20200826_0915_PML_0.5_Limno.Sample.20160505"
"P186",35,"TR","DeepHole","8/26/2020","9:15","Hypo",5,5,120,"1","","TR_DeepHole_20200826_0915_Hypo_5_Limno.Sample.20160505"
"P187",35,"WL","DeepHole","8/26/2020","11:37","PML",0,1.5,120,"1","","WL_DeepHole_20200826_1137_PML_1.5_Limno.Sample.20160505"
"P188",35,"WL","DeepHole","8/26/2020","11:37","Hypo",8,8,120,"1","","WL_DeepHole_20200826_1137_Hypo_8_Limno.Sample.20160505"
"P189",35,"CYB","DeepHole","8/27/2020","10:15","PML",0,0.5,120,"1","","CYB_DeepHole_20200827_1015_PML_0.5_Limno.Sample.20160505"
"P190",35,"CYB","DeepHole","8/27/2020","10:15","Hypo",2,2,120,"1","","CYB_DeepHole_20200827_1015_Hypo_2_Limno.Sample.20160505"
"P191",35,"TB","DeepHole","8/27/2020","11:15","PML",0,0.5,120,"1","","TB_DeepHole_20200827_1115_PML_0.5_Limno.Sample.20160505"
"P192",35,"TB","DeepHole","8/27/2020","11:15","Hypo",3.5,3.5,120,"1","","TB_DeepHole_20200827_1115_Hypo_3.5_Limno.Sample.20160505"
"P193",41,"JO","DeepHole","9/1/2020","8:55","PML",0,3,120,"1","","JO_DeepHole_20200901_0855_PML_3_Limno.Sample.20160505"
"P194",41,"JO","DeepHole","9/1/2020","8:55","Hypo",4.5,4.5,80,"1","","JO_DeepHole_20200901_0855_Hypo_4.5_Limno.Sample.20160505"
